"Query","UTC DateTime","Response"
"1. played regional level throw ball tournament during 2010-2011 for kendriya vidyalaya malleswaram.",04/26/2017 20:45:38,"{""query"":""1. Played Regional level THROW BALL tournament during 2010-2011 for Kendriya Vidyalaya Malleswaram."",""intents"":[{""intent"":""None"",""score"":0.6236666},{""intent"":""languages"",""score"":0.0727577358},{""intent"":""workExperience"",""score"":0.060641814},{""intent"":""Interests"",""score"":0.0346526466},{""intent"":""Internship"",""score"":0.0220220927},{""intent"":""skills"",""score"":0.0062262034},{""intent"":""Education"",""score"":0.002601533},{""intent"":""Research"",""score"":1.00110519E-07}],""entities"":[]}"
"client couselling competition",04/26/2017 20:45:40,"{""query"":""CLIENT COUSELLING COMPETITION"",""intents"":[{""intent"":""None"",""score"":0.399439424},{""intent"":""Interests"",""score"":0.0788193345},{""intent"":""languages"",""score"":0.04630464},{""intent"":""Education"",""score"":0.0344818756},{""intent"":""skills"",""score"":0.0275474042},{""intent"":""workExperience"",""score"":0.0200250857},{""intent"":""Internship"",""score"":0.012928674},{""intent"":""Research"",""score"":1.50867652E-06}],""entities"":[]}"
"interested in various legal workshops & seminars.",04/26/2017 20:45:40,"{""query"":""Interested in various legal workshops & seminars."",""intents"":[{""intent"":""None"",""score"":0.432323128},{""intent"":""Interests"",""score"":0.09293513},{""intent"":""languages"",""score"":0.05820487},{""intent"":""workExperience"",""score"":0.0369306952},{""intent"":""Internship"",""score"":0.0169413052},{""intent"":""skills"",""score"":0.0126101784},{""intent"":""Education"",""score"":0.008573477},{""intent"":""Research"",""score"":2.19147068E-07}],""entities"":[]}"
"3. played for college throw ball team in the year 2015",04/26/2017 20:45:40,"{""query"":""3. Played for college THROW BALL team in the year 2015"",""intents"":[{""intent"":""None"",""score"":0.543741941},{""intent"":""languages"",""score"":0.0688087046},{""intent"":""workExperience"",""score"":0.05241824},{""intent"":""Interests"",""score"":0.04337915},{""intent"":""Internship"",""score"":0.0216777921},{""intent"":""skills"",""score"":0.008963706},{""intent"":""Education"",""score"":0.00489881774},{""intent"":""Research"",""score"":2.2782865E-07}],""entities"":[]}"
"good command over english, malayalam, kannada, tamil and hindi.",04/26/2017 20:45:40,"{""query"":""Good command over English, Malayalam, Kannada, Tamil and Hindi."",""intents"":[{""intent"":""None"",""score"":0.5615702},{""intent"":""languages"",""score"":0.0706914738},{""intent"":""workExperience"",""score"":0.0556516},{""intent"":""Interests"",""score"":0.039122235},{""intent"":""Internship"",""score"":0.0224696677},{""intent"":""skills"",""score"":0.008339109},{""intent"":""Education"",""score"":0.00433595},{""intent"":""Research"",""score"":2.13402771E-07}],""entities"":[]}"
"ashwathi.k",04/26/2017 20:45:54,"{""query"":""ASHWATHI.K"",""intents"":[{""intent"":""None"",""score"":0.428815126},{""intent"":""Interests"",""score"":0.08043962},{""intent"":""languages"",""score"":0.04386486},{""intent"":""Education"",""score"":0.03170438},{""intent"":""skills"",""score"":0.0262734368},{""intent"":""workExperience"",""score"":0.0178627316},{""intent"":""Internship"",""score"":0.0113919666},{""intent"":""Research"",""score"":1.0631054E-06}],""entities"":[]}"
"9483955997/8951051510",04/26/2017 20:45:54,"{""query"":""9483955997/8951051510"",""intents"":[{""intent"":""None"",""score"":0.510550559},{""intent"":""Interests"",""score"":0.0849939138},{""intent"":""languages"",""score"":0.0378436521},{""intent"":""Education"",""score"":0.025211148},{""intent"":""skills"",""score"":0.0230964273},{""intent"":""workExperience"",""score"":0.0130825583},{""intent"":""Internship"",""score"":0.00807208},{""intent"":""Research"",""score"":4.10917238E-07}],""entities"":[]}"
"kendriya vidyalaya malleswaram, bangalore",04/26/2017 20:45:54,"{""query"":""KENDRIYA VIDYALAYA MALLESWARAM, BANGALORE"",""intents"":[{""intent"":""None"",""score"":0.44960165},{""intent"":""Interests"",""score"":0.06296947},{""intent"":""languages"",""score"":0.0533172861},{""intent"":""workExperience"",""score"":0.028156776},{""intent"":""skills"",""score"":0.0188104548},{""intent"":""Education"",""score"":0.0178356338},{""intent"":""Internship"",""score"":0.015576438},{""intent"":""Research"",""score"":8.16482E-07}],""entities"":[]}"
"m.s.ramaiah college of law, bangalore",04/26/2017 20:45:54,"{""query"":""M.S.RAMAIAH COLLEGE OF LAW, BANGALORE"",""intents"":[{""intent"":""None"",""score"":0.62028563},{""intent"":""languages"",""score"":0.0587785579},{""intent"":""Interests"",""score"":0.0467240252},{""intent"":""workExperience"",""score"":0.03809101},{""intent"":""Internship"",""score"":0.0160423052},{""intent"":""skills"",""score"":0.009654319},{""intent"":""Education"",""score"":0.0053448095},{""intent"":""Research"",""score"":1.16542964E-07}],""entities"":[]}"
"personal dossier",04/26/2017 20:45:54,"{""query"":""PERSONAL DOSSIER"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"education",04/26/2017 20:45:54,"{""query"":""EDUCATION"",""intents"":[{""intent"":""Education"",""score"":0.6149136},{""intent"":""None"",""score"":0.166489631},{""intent"":""Interests"",""score"":0.0852919742},{""intent"":""skills"",""score"":0.0510370471},{""intent"":""languages"",""score"":0.03428952},{""intent"":""workExperience"",""score"":0.01148574},{""intent"":""Internship"",""score"":0.0086537},{""intent"":""Research"",""score"":5.390907E-07}],""entities"":[]}"
"kamath & kamath associates",04/26/2017 20:45:54,"{""query"":""Kamath & Kamath associates"",""intents"":[{""intent"":""None"",""score"":0.386875838},{""intent"":""Interests"",""score"":0.06775467},{""intent"":""languages"",""score"":0.0538677722},{""intent"":""workExperience"",""score"":0.0282231923},{""intent"":""Education"",""score"":0.02697317},{""intent"":""skills"",""score"":0.0238417126},{""intent"":""Internship"",""score"":0.01702401},{""intent"":""Research"",""score"":1.73746821E-06}],""entities"":[]}"
"achievements",04/26/2017 20:45:54,"{""query"":""ACHIEVEMENTS"",""intents"":[{""intent"":""None"",""score"":0.251517415},{""intent"":""Education"",""score"":0.125824362},{""intent"":""Interests"",""score"":0.108512275},{""intent"":""skills"",""score"":0.0593393333},{""intent"":""languages"",""score"":0.0421404354},{""intent"":""workExperience"",""score"":0.0152366795},{""intent"":""Internship"",""score"":0.0132830292},{""intent"":""Research"",""score"":1.12302423E-05}],""entities"":[]}"
"seminars attended:",04/26/2017 20:45:55,"{""query"":""Seminars Attended:"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"rego & rego law chambers",04/26/2017 20:45:55,"{""query"":""Rego & rego law chambers"",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"mount carmel p.u. college, bangalore",04/26/2017 20:45:55,"{""query"":""MOUNT CARMEL P.U. COLLEGE, BANGALORE"",""intents"":[{""intent"":""None"",""score"":0.5040418},{""intent"":""languages"",""score"":0.0647186},{""intent"":""Interests"",""score"":0.0468958579},{""intent"":""workExperience"",""score"":0.04467565},{""intent"":""Internship"",""score"":0.020524919},{""intent"":""skills"",""score"":0.0117743639},{""intent"":""Education"",""score"":0.007910613},{""intent"":""Research"",""score"":4.2346332E-07}],""entities"":[]}"
"working knowledge of ms word, ms powerpoint and internet.",04/26/2017 20:46:09,"{""query"":""Working Knowledge of MS Word, MS PowerPoint and Internet."",""intents"":[{""intent"":""None"",""score"":0.57524097},{""intent"":""languages"",""score"":0.06578902},{""intent"":""workExperience"",""score"":0.04817161},{""intent"":""Interests"",""score"":0.0430369936},{""intent"":""Internship"",""score"":0.0202094186},{""intent"":""skills"",""score"":0.009550278},{""intent"":""Education"",""score"":0.005335622},{""intent"":""Research"",""score"":1.94019535E-07}],""entities"":[]}"
"medical litigation",04/26/2017 20:46:09,"{""query"":""MEDICAL LITIGATION"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"1. played regional level throw ball tournament during 2010-2011 for kendriya vidyalaya malleswaram.",04/26/2017 20:46:09,"{""query"":""1. Played Regional level THROW BALL tournament during 2010-2011 for Kendriya Vidyalaya Malleswaram."",""intents"":[{""intent"":""None"",""score"":0.6236666},{""intent"":""languages"",""score"":0.0727577358},{""intent"":""workExperience"",""score"":0.060641814},{""intent"":""Interests"",""score"":0.0346526466},{""intent"":""Internship"",""score"":0.0220220927},{""intent"":""skills"",""score"":0.0062262034},{""intent"":""Education"",""score"":0.002601533},{""intent"":""Research"",""score"":1.00110519E-07}],""entities"":[]}"
"client couselling competition",04/26/2017 20:46:09,"{""query"":""CLIENT COUSELLING COMPETITION"",""intents"":[{""intent"":""None"",""score"":0.399439424},{""intent"":""Interests"",""score"":0.0788193345},{""intent"":""languages"",""score"":0.04630464},{""intent"":""Education"",""score"":0.0344818756},{""intent"":""skills"",""score"":0.0275474042},{""intent"":""workExperience"",""score"":0.0200250857},{""intent"":""Internship"",""score"":0.012928674},{""intent"":""Research"",""score"":1.50867652E-06}],""entities"":[]}"
"extra-curricular activities/ interests",04/26/2017 20:46:09,"{""query"":""EXTRA-CURRICULAR ACTIVITIES/ INTERESTS "",""intents"":[{""intent"":""None"",""score"":0.416251361},{""intent"":""Interests"",""score"":0.134025231},{""intent"":""languages"",""score"":0.0495814532},{""intent"":""workExperience"",""score"":0.02650605},{""intent"":""skills"",""score"":0.0147087649},{""intent"":""Internship"",""score"":0.0127557088},{""intent"":""Education"",""score"":0.0103800148},{""intent"":""Research"",""score"":1.18838841E-07}],""entities"":[]}"
"proficient in operating ms office applications.",04/26/2017 20:46:09,"{""query"":""Proficient in operating MS Office applications."",""intents"":[{""intent"":""None"",""score"":0.460478961},{""intent"":""languages"",""score"":0.0605544075},{""intent"":""Interests"",""score"":0.05623934},{""intent"":""workExperience"",""score"":0.03811423},{""intent"":""Internship"",""score"":0.0190206375},{""intent"":""skills"",""score"":0.0147334877},{""intent"":""Education"",""score"":0.011646159},{""intent"":""Research"",""score"":6.12470444E-07}],""entities"":[]}"
"3. played for college throw ball team in the year 2015",04/26/2017 20:46:09,"{""query"":""3. Played for college THROW BALL team in the year 2015"",""intents"":[{""intent"":""None"",""score"":0.543741941},{""intent"":""languages"",""score"":0.0688087046},{""intent"":""workExperience"",""score"":0.05241824},{""intent"":""Interests"",""score"":0.04337915},{""intent"":""Internship"",""score"":0.0216777921},{""intent"":""skills"",""score"":0.008963706},{""intent"":""Education"",""score"":0.00489881774},{""intent"":""Research"",""score"":2.2782865E-07}],""entities"":[]}"
"interested in various legal workshops & seminars.",04/26/2017 20:46:09,"{""query"":""Interested in various legal workshops & seminars."",""intents"":[{""intent"":""None"",""score"":0.432323128},{""intent"":""Interests"",""score"":0.09293513},{""intent"":""languages"",""score"":0.05820487},{""intent"":""workExperience"",""score"":0.0369306952},{""intent"":""Internship"",""score"":0.0169413052},{""intent"":""skills"",""score"":0.0126101784},{""intent"":""Education"",""score"":0.008573477},{""intent"":""Research"",""score"":2.19147068E-07}],""entities"":[]}"
"good command over english, malayalam, kannada, tamil and hindi.",04/26/2017 20:46:09,"{""query"":""Good command over English, Malayalam, Kannada, Tamil and Hindi."",""intents"":[{""intent"":""None"",""score"":0.5615702},{""intent"":""languages"",""score"":0.0706914738},{""intent"":""workExperience"",""score"":0.0556516},{""intent"":""Interests"",""score"":0.039122235},{""intent"":""Internship"",""score"":0.0224696677},{""intent"":""skills"",""score"":0.008339109},{""intent"":""Education"",""score"":0.00433595},{""intent"":""Research"",""score"":2.13402771E-07}],""entities"":[]}"
"dancing, basketball, throw ball, cricket, badminton, painting.",04/26/2017 20:46:09,"{""query"":""Dancing, Basketball, Throw ball, Cricket, Badminton, Painting. "",""intents"":[{""intent"":""None"",""score"":0.5615702},{""intent"":""languages"",""score"":0.0706914738},{""intent"":""workExperience"",""score"":0.0556516},{""intent"":""Interests"",""score"":0.039122235},{""intent"":""Internship"",""score"":0.0224696677},{""intent"":""skills"",""score"":0.008339109},{""intent"":""Education"",""score"":0.00433595},{""intent"":""Research"",""score"":2.13402771E-07}],""entities"":[]}"
"2. played regional level basket ball tournament during 2009-2010 for kendriya vidyalaya malleswaram.",04/26/2017 20:46:09,"{""query"":""2. Played Regional level BASKET BALL tournament during 2009-2010 for Kendriya Vidyalaya Malleswaram."",""intents"":[{""intent"":""None"",""score"":0.6234252},{""intent"":""languages"",""score"":0.0727902},{""intent"":""workExperience"",""score"":0.06069817},{""intent"":""Interests"",""score"":0.03464636},{""intent"":""Internship"",""score"":0.0220455229},{""intent"":""skills"",""score"":0.00622876},{""intent"":""Education"",""score"":0.00260344637},{""intent"":""Research"",""score"":1.00408457E-07}],""entities"":[]}"
"time management skills developed through internships.",04/26/2017 20:46:10,"{""query"":""Time management skills developed through internships."",""intents"":[{""intent"":""None"",""score"":0.316886276},{""intent"":""Internship"",""score"":0.214246362},{""intent"":""languages"",""score"":0.144144684},{""intent"":""Interests"",""score"":0.0407868549},{""intent"":""skills"",""score"":0.030452095},{""intent"":""workExperience"",""score"":0.0158891249},{""intent"":""Education"",""score"":0.007998913},{""intent"":""Research"",""score"":9.04811444E-08}],""entities"":[]}"
"4. participated in various dance competitions",04/26/2017 20:46:25,"{""query"":""4. Participated in various DANCE competitions"",""intents"":[{""intent"":""None"",""score"":0.495490372},{""intent"":""Interests"",""score"":0.0579700172},{""intent"":""languages"",""score"":0.0568327159},{""intent"":""workExperience"",""score"":0.0333636738},{""intent"":""Internship"",""score"":0.0163812321},{""intent"":""skills"",""score"":0.013920933},{""intent"":""Education"",""score"":0.010517586},{""intent"":""Research"",""score"":4.02666643E-07}],""entities"":[]}"
"address:",04/26/2017 20:46:25,"{""query"":""ADDRESS:"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"educational qualification",04/26/2017 20:46:25,"{""query"":""Educational Qualification"",""intents"":[{""intent"":""Education"",""score"":0.284272},{""intent"":""None"",""score"":0.233492553},{""intent"":""Interests"",""score"":0.07396321},{""intent"":""languages"",""score"":0.0405073874},{""intent"":""skills"",""score"":0.0356127247},{""intent"":""workExperience"",""score"":0.0163410921},{""intent"":""Internship"",""score"":0.01087519},{""intent"":""Research"",""score"":5.44594968E-07}],""entities"":[]}"
"experience",04/26/2017 20:46:25,"{""query"":""Experience"",""intents"":[{""intent"":""workExperience"",""score"":0.617401958},{""intent"":""None"",""score"":0.114356272},{""intent"":""Education"",""score"":0.07887302},{""intent"":""Interests"",""score"":0.07456652},{""intent"":""Internship"",""score"":0.0582405329},{""intent"":""skills"",""score"":0.0479840674},{""intent"":""languages"",""score"":0.0278452244},{""intent"":""Research"",""score"":1.097766E-07}],""entities"":[]}"
"kiran s. javali",04/26/2017 20:46:25,"{""query"":""Kiran S. Javali"",""intents"":[{""intent"":""None"",""score"":0.4409817},{""intent"":""Interests"",""score"":0.07037501},{""intent"":""languages"",""score"":0.0487834439},{""intent"":""Education"",""score"":0.0230743885},{""intent"":""workExperience"",""score"":0.0228942167},{""intent"":""skills"",""score"":0.0218407363},{""intent"":""Internship"",""score"":0.0134914918},{""intent"":""Research"",""score"":9.11287657E-07}],""entities"":[]}"
"mobile:",04/26/2017 20:46:25,"{""query"":""Mobile:"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"curriculum vitae",04/26/2017 20:46:25,"{""query"":""CURRICULUM VITAE"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"academy for severe handicaps and autism(asha)",04/26/2017 20:46:26,"{""query"":""Academy For Severe Handicaps and Autism(ASHA)"",""intents"":[{""intent"":""None"",""score"":0.5340517},{""intent"":""languages"",""score"":0.0613943376},{""intent"":""Interests"",""score"":0.04788681},{""intent"":""workExperience"",""score"":0.0399919},{""intent"":""Internship"",""score"":0.0181181356},{""intent"":""skills"",""score"":0.01122528},{""intent"":""Education"",""score"":0.00726179359},{""intent"":""Research"",""score"":2.99144E-07}],""entities"":[]}"
"personal dossier",04/26/2017 20:46:26,"{""query"":""PERSONAL DOSSIER"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"ashwin kumar b.r",04/26/2017 20:46:26,"{""query"":""ASHWIN KUMAR B.R"",""intents"":[{""intent"":""None"",""score"":0.417001873},{""intent"":""Interests"",""score"":0.0615540035},{""intent"":""languages"",""score"":0.0565432422},{""intent"":""workExperience"",""score"":0.03187056},{""intent"":""skills"",""score"":0.0198209938},{""intent"":""Education"",""score"":0.0195829235},{""intent"":""Internship"",""score"":0.017883528},{""intent"":""Research"",""score"":1.19853235E-06}],""entities"":[]}"
"haranahalli law partners",04/26/2017 20:46:26,"{""query"":""Haranahalli Law Partners  "",""intents"":[{""intent"":""None"",""score"":0.401249737},{""intent"":""Interests"",""score"":0.0789193362},{""intent"":""languages"",""score"":0.04614904},{""intent"":""Education"",""score"":0.03430229},{""intent"":""skills"",""score"":0.0274663586},{""intent"":""workExperience"",""score"":0.0198832676},{""intent"":""Internship"",""score"":0.0128272856},{""intent"":""Research"",""score"":1.47615015E-06}],""entities"":[]}"
"work profile/",04/26/2017 20:46:40,"{""query"":""WORK PROFILE/"",""intents"":[{""intent"":""None"",""score"":0.2862427},{""intent"":""workExperience"",""score"":0.126272827},{""intent"":""Interests"",""score"":0.0673328862},{""intent"":""languages"",""score"":0.0445241965},{""intent"":""Education"",""score"":0.0336731933},{""intent"":""skills"",""score"":0.02784067},{""intent"":""Internship"",""score"":0.00671674963},{""intent"":""Research"",""score"":2.20697639E-05}],""entities"":[]}"
"mob no",04/26/2017 20:46:40,"{""query"":""MOB NO"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"experience",04/26/2017 20:46:40,"{""query"":""EXPERIENCE"",""intents"":[{""intent"":""workExperience"",""score"":0.617401958},{""intent"":""None"",""score"":0.114356272},{""intent"":""Education"",""score"":0.07887302},{""intent"":""Interests"",""score"":0.07456652},{""intent"":""Internship"",""score"":0.0582405329},{""intent"":""skills"",""score"":0.0479840674},{""intent"":""languages"",""score"":0.0278452244},{""intent"":""Research"",""score"":1.097766E-07}],""entities"":[]}"
"email id:",04/26/2017 20:46:40,"{""query"":""EMAIL ID:"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"address:",04/26/2017 20:46:40,"{""query"":""ADDRESS:"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"curriculum vitae",04/26/2017 20:46:40,"{""query"":""CURRICULUM VITAE"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"-iv b.l.s/ll.b",04/26/2017 20:46:40,"{""query"":""-IV B.L.S/LL.B"",""intents"":[{""intent"":""None"",""score"":0.5353256},{""intent"":""languages"",""score"":0.06789434},{""intent"":""workExperience"",""score"":0.0503390767},{""intent"":""Interests"",""score"":0.0425170548},{""intent"":""Internship"",""score"":0.0215573125},{""intent"":""skills"",""score"":0.009768341},{""intent"":""Education"",""score"":0.005712556},{""intent"":""Research"",""score"":2.921118E-07}],""entities"":[]}"
"co-curricular activities",04/26/2017 20:46:41,"{""query"":""CO-CURRICULAR ACTIVITIES"",""intents"":[{""intent"":""None"",""score"":0.437505275},{""intent"":""Interests"",""score"":0.0702066347},{""intent"":""languages"",""score"":0.04909088},{""intent"":""Education"",""score"":0.02330365},{""intent"":""workExperience"",""score"":0.0231998228},{""intent"":""skills"",""score"":0.0219622143},{""intent"":""Internship"",""score"":0.0136916209},{""intent"":""Research"",""score"":9.49229957E-07}],""entities"":[]}"
"asmita gupta",04/26/2017 20:46:41,"{""query"":""ASMITA GUPTA"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"email id:",04/26/2017 20:46:41,"{""query"":""EMAIL ID:"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
"education qualifications",04/26/2017 20:46:41,"{""query"":""EDUCATION QUALIFICATIONS"",""intents"":[{""intent"":""None"",""score"":0.2448486},{""intent"":""Education"",""score"":0.2293273},{""intent"":""Interests"",""score"":0.07618344},{""intent"":""languages"",""score"":0.04151883},{""intent"":""skills"",""score"":0.03627593},{""intent"":""workExperience"",""score"":0.01690276},{""intent"":""Internship"",""score"":0.01144876},{""intent"":""Research"",""score"":7.839857E-07}],""entities"":[]}"
"b.l.s.",04/26/2017 20:46:56,"{""query"":""B.L.S. "",""intents"":[{""intent"":""None"",""score"":0.44297567},{""intent"":""languages"",""score"":0.05890229},{""intent"":""Interests"",""score"":0.05672922},{""intent"":""workExperience"",""score"":0.0353064649},{""intent"":""Internship"",""score"":0.01864336},{""intent"":""skills"",""score"":0.016946096},{""intent"":""Education"",""score"":0.0149139874},{""intent"":""Research"",""score"":8.755915E-07}],""entities"":[]}"
"presently intern",04/26/2017 20:46:56,"{""query"":""Presently Intern"",""intents"":[{""intent"":""None"",""score"":0.307523131},{""intent"":""Interests"",""score"":0.088328436},{""intent"":""Education"",""score"":0.0649318844},{""intent"":""languages"",""score"":0.0469942428},{""intent"":""skills"",""score"":0.0398030244},{""intent"":""workExperience"",""score"":0.0200348627},{""intent"":""Internship"",""score"":0.01482634},{""intent"":""Research"",""score"":4.91756873E-06}],""entities"":[]}"
"current education",04/26/2017 20:46:56,"{""query"":""CURRENT EDUCATION"",""intents"":[{""intent"":""Education"",""score"":0.3329512},{""intent"":""None"",""score"":0.224768966},{""intent"":""Interests"",""score"":0.07224854},{""intent"":""languages"",""score"":0.03972373},{""intent"":""skills"",""score"":0.03509618},{""intent"":""workExperience"",""score"":0.015909655},{""intent"":""Internship"",""score"":0.0104415109},{""intent"":""Research"",""score"":4.08180853E-07}],""entities"":[]}"
"year- (v-iii) b.l.s. ll.b",04/26/2017 20:46:56,"{""query"":""YEAR- (V-III) B.L.S. LL.B"",""intents"":[{""intent"":""None"",""score"":0.5941252},{""intent"":""languages"",""score"":0.07436597},{""intent"":""workExperience"",""score"":0.06309431},{""intent"":""Interests"",""score"":0.03521531},{""intent"":""Internship"",""score"":0.02367261},{""intent"":""skills"",""score"":0.00683061872},{""intent"":""Education"",""score"":0.00306238327},{""intent"":""Research"",""score"":1.43702749E-07}],""entities"":[]}"
"asmita",04/26/2017 20:46:56,"{""query"":""ASMITA "",""intents"":[{""intent"":""None"",""score"":0.251517415},{""intent"":""Education"",""score"":0.125824362},{""intent"":""Interests"",""score"":0.108512275},{""intent"":""skills"",""score"":0.0593393333},{""intent"":""languages"",""score"":0.0421404354},{""intent"":""workExperience"",""score"":0.0152366795},{""intent"":""Internship"",""score"":0.0132830292},{""intent"":""Research"",""score"":1.12302423E-05}],""entities"":[]}"
"educational qualification",04/26/2017 20:46:56,"{""query"":""EDUCATIONAL QUALIFICATION"",""intents"":[{""intent"":""Education"",""score"":0.284272},{""intent"":""None"",""score"":0.233492553},{""intent"":""Interests"",""score"":0.07396321},{""intent"":""languages"",""score"":0.0405073874},{""intent"":""skills"",""score"":0.0356127247},{""intent"":""workExperience"",""score"":0.0163410921},{""intent"":""Internship"",""score"":0.01087519},{""intent"":""Research"",""score"":5.44594968E-07}],""entities"":[]}"
"was intern at",04/26/2017 20:46:56,"{""query"":""Was Intern at"",""intents"":[{""intent"":""None"",""score"":0.35116905},{""intent"":""Interests"",""score"":0.07613056},{""intent"":""languages"",""score"":0.0507556945},{""intent"":""Education"",""score"":0.0397557281},{""intent"":""skills"",""score"":0.0298545547},{""intent"":""workExperience"",""score"":0.0243081357},{""intent"":""Internship"",""score"":0.01602716},{""intent"":""Research"",""score"":2.73710452E-06}],""entities"":[]}"
